episode,task,frames,duration_s,final_route_progress,mean_track_error,max_track_error
episode_00000,go_right,354,35.4,1.0,0.03504201823794204,0.0948186069726944
episode_00001,go_right,355,35.5,1.0,0.05932396190359034,0.11509037017822266
episode_00002,go_left,355,35.5,1.0,0.04094288951002429,0.10804525762796402
episode_00003,go_left,355,35.5,1.0,0.04202584889815779,0.12313270568847656
episode_00004,go_right,356,35.6,1.0,0.032332391499284914,0.12197685241699219
episode_00005,go_left,356,35.6,1.0,0.02892608436561429,0.11053037643432617
episode_00006,go_right,356,35.6,1.0,0.039977311393444875,0.13408903777599335
episode_00007,go_left,356,35.6,1.0,0.04211353230962896,0.10984987020492554
episode_00008,go_left,356,35.6,1.0,0.037333953143306745,0.10406220704317093
episode_00009,go_right,356,35.6,1.0,0.041699928409920935,0.10948330909013748
episode_00010,go_left,357,35.7,1.0,0.04162079980825165,0.10376167297363281
episode_00011,go_left,357,35.7,1.0,0.052165716244116506,0.11419963836669922
episode_00012,go_right,357,35.7,1.0,0.037935608044647906,0.13740141689777374
episode_00013,go_right,357,35.7,1.0,0.034833173354365664,0.12141619622707367
episode_00014,go_left,357,35.7,1.0,0.03602990901641579,0.11466724425554276
episode_00015,go_right,358,35.800000000000004,1.0,0.035182631375315576,0.13318729400634766
episode_00016,go_left,358,35.800000000000004,1.0,0.04155657067801446,0.09629440307617188
episode_00017,go_right,358,35.800000000000004,1.0,0.03176057272864643,0.12273326516151428
episode_00018,go_right,359,35.9,1.0,0.04285485119543306,0.1124563217163086
episode_00019,go_right,359,35.9,1.0,0.03907603634079376,0.09031865000724792
episode_00020,go_right,359,35.9,1.0,0.03690452937933864,0.14745137095451355
episode_00021,go_left,359,35.9,1.0,0.033996686688137906,0.12471816688776016
episode_00022,go_right,359,35.9,1.0,0.03486214109312504,0.10604202002286911
episode_00023,go_right,359,35.9,1.0,0.03629096831131174,0.13083602488040924
episode_00024,go_right,360,36.0,1.0,0.03337768260389566,0.09651295095682144
episode_00025,go_left,361,36.1,1.0,0.03631730328753869,0.0903233215212822
episode_00026,go_left,361,36.1,1.0,0.03392898482640585,0.12155485153198242
episode_00027,go_right,362,36.2,1.0,0.049743232096015416,0.09727301448583603
episode_00028,go_right,362,36.2,1.0,0.03384744716549401,0.11730386316776276
episode_00029,go_left,365,36.5,1.0,0.030797871172648202,0.10841920971870422
episode_00030,go_left,366,36.6,1.0,0.031480258038988566,0.11646489799022675
episode_00031,go_right,366,36.6,1.0,0.05012249458286036,0.11256759613752365
episode_00032,go_left,366,36.6,1.0,0.044853072777922304,0.119903564453125
episode_00033,go_right,367,36.7,1.0,0.044361153040341376,0.10594373941421509
episode_00034,go_left,371,37.1,1.0,0.027445203706172153,0.11666418612003326
episode_00035,go_right,372,37.2,1.0,0.06003890979424199,0.10327012836933136
episode_00036,go_right,373,37.300000000000004,1.0,0.03304273155704359,0.12094497680664062
episode_00037,go_right,375,37.5,1.0,0.031381635002825835,0.09787750244140625
episode_00038,go_right,375,37.5,1.0,0.029388032548760143,0.11809824407100677
episode_00039,go_right,376,37.6,1.0,0.03557387065201839,0.10861571133136749
episode_00040,go_left,376,37.6,1.0,0.04896620806477508,0.11083932220935822
episode_00041,go_left,377,37.7,1.0,0.02857065493712172,0.09702396392822266
episode_00042,go_left,377,37.7,1.0,0.050154213053705446,0.1160971075296402
episode_00043,go_left,378,37.800000000000004,1.0,0.03747691869351978,0.09431681782007217
episode_00044,go_right,382,38.2,1.0,0.032916044920142884,0.11502648144960403
episode_00045,go_left,384,38.400000000000006,1.0,0.049759986279241275,0.12101708352565765
episode_00046,go_right,385,38.5,1.0,0.03758367131306947,0.10549940168857574
episode_00047,go_right,385,38.5,1.0,0.030990446767431092,0.10874462127685547
episode_00048,go_left,385,38.5,1.0,0.04140043984244384,0.10685737431049347
episode_00049,go_left,386,38.6,1.0,0.04370873502710197,0.10108249634504318
episode_00050,go_left,387,38.7,1.0,0.053886104129659114,0.12768328189849854
episode_00051,go_right,390,39.0,1.0,0.058298040936008474,0.1278393566608429
episode_00052,go_left,390,39.0,1.0,0.03363534410152799,0.09264266490936279
episode_00053,go_left,396,39.6,1.0,0.031869021028126214,0.09104728698730469
episode_00054,go_right,396,39.6,1.0,0.035081141198823,0.0930766835808754
episode_00055,go_right,397,39.7,1.0,0.026763411667979423,0.08959775418043137
episode_00056,go_left,399,39.900000000000006,1.0,0.05671413462459667,0.1168474480509758
episode_00057,go_right,404,40.400000000000006,1.0,0.031231842834518596,0.07829677313566208
episode_00058,go_left,410,41.0,1.0,0.0457361193828103,0.10646238178014755
episode_00059,go_left,410,41.0,1.0,0.05088965441781755,0.10061667114496231
episode_00060,go_left,411,41.1,1.0,0.03822114225873529,0.09752185642719269
episode_00061,go_left,411,41.1,1.0,0.04594540572045439,0.10782799124717712
episode_00062,go_left,421,42.1,1.0,0.027319886752977984,0.13648371398448944
episode_00063,go_right,422,42.2,1.0,0.0349508113852379,0.1495601087808609
episode_00000,go_right,356,35.6,1.0,0.0468844547167975,0.11737728118896484
episode_00001,go_left,357,35.7,1.0,0.05078296515443662,0.1101217269897461
episode_00002,go_right,357,35.7,1.0,0.030053054206215134,0.10576291382312775
episode_00003,go_right,358,35.800000000000004,1.0,0.04027311241660038,0.10163116455078125
episode_00004,go_right,358,35.800000000000004,1.0,0.03147136978044951,0.11754188686609268
episode_00005,go_right,358,35.800000000000004,1.0,0.0331830098844906,0.11580801755189896
episode_00006,go_left,358,35.800000000000004,1.0,0.03636018661151291,0.12900350987911224
episode_00007,go_left,358,35.800000000000004,1.0,0.03046376557186862,0.10782243311405182
episode_00008,go_right,358,35.800000000000004,1.0,0.03053631334966042,0.10704487562179565
episode_00009,go_left,358,35.800000000000004,1.0,0.04539384692061859,0.1050974428653717
episode_00010,go_left,358,35.800000000000004,1.0,0.03236806722910761,0.13866806030273438
episode_00011,go_right,358,35.800000000000004,1.0,0.036590769508620724,0.09929876029491425
episode_00012,go_left,358,35.800000000000004,1.0,0.034187494245794856,0.11779499053955078
episode_00013,go_right,359,35.9,1.0,0.06161148137264447,0.10936003178358078
episode_00014,go_left,359,35.9,1.0,0.035491244995209045,0.1032325029373169
episode_00015,go_left,359,35.9,1.0,0.0325527191344515,0.11176109313964844
